Groupwise Bifurcation of Institutions for Approval Process 2025-26,,,,,,,
141,1-5850086,"C. U. SHAH COLLEGE OF ENGINEERING &
TECHNOLOGY",Central,Gujarat,SURENDRANAGAR,WADHWAN CITY,Group-1
142,1-6102166,"C. U. SHAH COLLEGE OF MASTER OF
COMPUTER APPLICATION",Central,Gujarat,SURENDRANAGAR,WADHWAN CITY,Group-1
143,1-6666611,"C.K.PITHAWALA COLLEGE OF ENGG &
TECHNOLOGY",Central,Gujarat,SURAT,SURAT,Group-1
144,1-448021571,C.U.SHAH POLYTECHNIC,Central,Gujarat,SURENDRANAGAR,WADHWAN CITY,Group-1
145,1-455245931,"C.U.SHAH TECHNICAL INSTITUTE OF DIPLOMA
STUDIES",Central,Gujarat,SURENDRANAGAR,WADHWAN,Group-1
146,1-2511748131,"CENTER FOR ADVANCED STUDIES IN DESIGN
AND RECONFIGURABLE COMPUTING",Central,Gujarat,VADODARA,VADODARA,Group-1
147,1-3687373,"CENTRAL INSTITUTE OF PETROCHEMICALS
ENGINEERING & TECHNOLOGY",Central,Gujarat,AHMEDABAD,AHMEDABAD,Group-1
Groupwise Bifurcation of Institutions for Approval Process 2025-26,,,,,,,
Sr.No,"AICTE
Permanent Id",Institute Name,Region,State,District,City,User Group
148,1-11102614,"CHANDUBHAI S. PATEL INSTITUTE OF
TECHNOLOGY",Central,Gujarat,ANAND,CHANGA,Group-1
149,1-8969151,CHAUDHARI TECHNICAL INSTITUTE,Central,Gujarat,GANDHINAGAR,GANDHINAGAR,Group-1
150,1-5019991,"CHHOTUBHAI GOPALBHAI PATEL INSTITUTE OF
TECHNOLOGY",Central,Gujarat,SURAT,BARDOLI,Group-1
151,1-7475971,"CHIMANBHAI PATEL INTITUTE OF
MANAGEMENT & RESEARCH",Central,Gujarat,AHMEDABAD,AHMEDABAD,Group-1
152,1-3214133,CHRIST INSTITUTE OF MANAGEMENT,Central,Gujarat,RAJKOT,RAJKOT,Group-1
153,1-421853003,CHRIST POLYTECHNIC INSTITUTE,Central,Gujarat,RAJKOT,RAJKOT,Group-1
154,1-1553561021,D A DEGREE ENGINEERING AND TECHNOLOGY,Central,Gujarat,KHEDA,MAHEMDABAD,Group-1
155,1-4369084,"D. L. PATEL INSTITUTE OF MANAGEMENT &
TECHNOLOGY, MBA COLLEGE",Central,Gujarat,SABARKANTHA,HIMATNAGAR,Group-1
156,1-431030171,D.A.DIPLOMA ENGINEERING & TECHNOLOGY,Central,Gujarat,KHEDA,MAHEMDABAD,Group-1
157,1-6157111,"D.L.PATEL INSTITUTE OF MANAGEMENT &
TECHNOLOGY,MCA COLLEGE",Central,Gujarat,SABARKANTHA,HIMATNAGAR,Group-1
158,1-3371966691,DADHICHI DIPLOMA POLYTECHNIC COLLEGE,Central,Gujarat,JUNAGADH,GADU,Group-1
159,1-445545301,DALIA INSTITUTE OF TECHNOLOGY,Central,Gujarat,KHEDA,KANERA,Group-1
160,1-3049261,"DARSHAN INSTITUTE OF ENGINEERING &
TECHNOLOGY",Central,Gujarat,RAJKOT,RAJKOT,Group-1
161,1-412677211,"DARSHAN INSTITUTE OF ENGINEERING &
TECHNOLOGY FOR DIPLOMA STUDIES",Central,Gujarat,RAJKOT,RAJKOT,Group-1
162,1-413844632,"DEPARTMENT OF COMMERCE &
MANAGEMENT, K.S.K.V. KACHCHH UNIVERSITY, BHUJ.",Central,Gujarat,KUTCH,BHUJ,Group-1
163,1-418658877,DEPARTMENT OF COMPUTER SCIENCE,Central,Gujarat,RAJKOT,RAJKOT,Group-1
164,1-43284521,DEPARTMENT OF COMPUTER SCIENCE  FACULTY OF MANAGEMENT AND TECHNOLOGY GUJARAT VIDYAPITH AHMEDABAD,Central,Gujarat,AHMEDABAD,AHMEDABAD,Group-1
165,1-3344377231,"DEVANG PATEL INSTITUTE OF ADVANCE
TECHNOLOGY AND RESEARCH",Central,Gujarat,ANAND,CHANGA,Group-1
166,1-4329052051,DHARMSINH DESAI UNIVERSITY,Central,Gujarat,KHEDA,NADIAD,Group-1
167,1-3708707601,DIWALIBA POLYTECHNIC,Central,Gujarat,SURAT,BARDOLI,Group-1
168,1-4571671751,DR. JIVRAJ MEHTA INSTITUTE OF POLYTECHNIC,Central,Gujarat,ANAND,"MOGAR, ANAND",Group-1
169,1-3132391,DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY,Central,Gujarat,ANAND,"MOGAR, ANAND",Group-1
